"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"92","C-0_0_1_1_0_3_2_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","11","0.8","28","28","10881.73","422.5","3966.25"
"93","C-0_0_2_1_1_2_3_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.08","8","0.9","27","23","8401.69","335.0","2973.55"
"94","C-0_0_2_1_1_2_3_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.08","8","0.9","27","18","8032.82","336.5","2863.07"
"95","C-0_0_4_2_1_2_0_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","8","0.6","25","28","7600.06","36.5","2624.06"
"96","C-0_0_2_1_1_2_3_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.08","8","0.9","27","13","8030.76","337.0","2862.43"
"97","C-0_0_4_2_1_2_0_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","8","0.6","25","23","7434.22","57.0","2576.66"
"98","C-0_0_4_2_1_2_0_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","8","0.6","25","18","7443.65","71.5","2579.04"
"99","C-0_0_2_2_0_4_0_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","14","0.6","25","28","10252.94","194.0","3868.47"
"100","C-0_0_0_1_0_4_3_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.10","0.05","14","0.9","27","18","11264.53","660.0","4364.43"
"101","C-0_0_1_2_0_2_1_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","8","0.7","28","18","10539.33","559.5","3629.79"
"102","C-0_0_1_2_0_2_1_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","8","0.7","28","23","10581.96","531.5","3644.73"
"103","C-0_0_2_2_0_4_0_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","14","0.6","25","23","10077.58","265.5","3814.84"
